pH,Temperature,Contact time,Initial concentration,Adsorbent dosage,Adsorption capacity
7,25,720,30.0,0.15,62.44209028
7,25,960,30.0,0.15,61.30115402
7,25,1440,30.0,0.15,61.32747771
7,25,1440,10.0,0.15,64.28113937
7,25,1440,20.0,0.15,130.2845151
7,25,1440,30.0,0.15,188.691543
7,25,1440,40.0,0.15,250.8498015
7,25,1440,50.0,0.15,267.7647505
7,25,1440,10.0,0.15,64.2882987
7,25,1440,20.0,0.15,130.4479165
7,25,1440,30.0,0.15,189.7662175
7,25,1440,40.0,0.15,236.0124778
7,25,1440,50.0,0.15,265.9695332
7,25,1440,10.0,0.15,64.28994126
7,25,1440,20.0,0.15,129.7318822
7,25,1440,30.0,0.15,192.3271992
7,25,1440,40.0,0.15,246.5544737
7,25,1440,50.0,0.15,266.2126217
7,25,1440,10.0,0.15,63.06336646
7,25,1440,20.0,0.15,93.21063911
7,25,1440,30.0,0.15,90.9394638
7,25,1440,40.0,0.15,103.6557078
7,25,1440,50.0,0.15,95.19579171
7,25,1440,10.0,0.15,62.57653284
7,25,1440,20.0,0.15,100.7224628
7,25,1440,30.0,0.15,93.91547723
7,25,1440,40.0,0.15,97.69569189
7,25,1440,50.0,0.15,87.18488053
7,25,1440,10.0,0.15,62.2813586
7,25,1440,20.0,0.15,92.93395168
7,25,1440,30.0,0.15,102.4109218
7,25,1440,40.0,0.15,100.369383
7,25,1440,50.0,0.15,87.88959852
7,25,1440,10.0,0.15,60.56256149
7,25,1440,20.0,0.15,70.38856734
7,25,1440,30.0,0.15,70.69892803
7,25,1440,40.0,0.15,96.49892036
7,25,1440,50.0,0.15,74.63207993
7,25,1440,10.0,0.15,59.62634316
7,25,1440,20.0,0.15,76.26578251
7,25,1440,30.0,0.15,72.68331481
7,25,1440,40.0,0.15,71.02359871
7,25,1440,50.0,0.15,65.98984246
7,25,1440,10.0,0.15,59.06881572
7,25,1440,20.0,0.15,66.7194092
7,25,1440,30.0,0.15,79.86046482
7,25,1440,40.0,0.15,82.90389308
7,25,1440,50.0,0.15,66.17053164
7,25,1440,10.0,0.15,64.8903021
7,25,1440,20.0,0.15,126.1433558
7,25,1440,30.0,0.15,185.1952087
7,25,1440,40.0,0.15,224.3642559
7,25,1440,50.0,0.15,253.7893399
7,25,1440,10.0,0.15,65.00011112
7,25,1440,20.0,0.15,126.0338032
7,25,1440,30.0,0.15,185.4803703
7,25,1440,40.0,0.15,225.3867619
7,25,1440,50.0,0.15,242.6313591
7,25,1440,10.0,0.15,64.88745858
7,25,1440,20.0,0.15,125.8746342
7,25,1440,30.0,0.15,185.3826534
7,25,1440,40.0,0.15,229.5904756
7,25,1440,50.0,0.15,256.5606528
7,25,1440,10.0,0.15,54.51822576
7,25,1440,20.0,0.15,77.09472432
7,25,1440,30.0,0.15,92.41984573
7,25,1440,40.0,0.15,86.86297093
7,25,1440,50.0,0.15,114.5396487
7,25,1440,10.0,0.15,55.99221794
7,25,1440,20.0,0.15,70.47311206
7,25,1440,30.0,0.15,109.0937645
7,25,1440,40.0,0.15,92.0230423
7,25,1440,50.0,0.15,95.69277177
7,25,1440,10.0,0.15,54.75327727
7,25,1440,20.0,0.15,86.63204392
7,25,1440,30.0,0.15,87.70689064
7,25,1440,40.0,0.15,96.55184796
7,25,1440,50.0,0.15,92.80229311
7,25,1440,10.0,0.15,52.79813938
7,25,1440,20.0,0.15,65.8862209
7,25,1440,30.0,0.15,71.73979226
7,25,1440,40.0,0.15,79.65647002
7,25,1440,50.0,0.15,74.77360153
7,25,1440,10.0,0.15,54.40193413
7,25,1440,20.0,0.15,66.76808811
7,25,1440,30.0,0.15,71.5674189
7,25,1440,40.0,0.15,69.80109888
7,25,1440,50.0,0.15,73.28729951
7,25,1440,10.0,0.15,52.90707681
7,25,1440,20.0,0.15,84.43127563
7,25,1440,30.0,0.15,72.73453868
7,25,1440,40.0,0.15,70.35687624
7,25,1440,50.0,0.15,73.29670399
5,25,1440,30.0,0.15,197.4756468
7,25,1440,30.0,0.15,173.2751979
9,25,1440,30.0,0.15,174.6705689
11,25,1440,30.0,0.15,168.5760905
5,25,1440,30.0,0.15,195.8013002
7,25,1440,30.0,0.15,188.0500596
9,25,1440,30.0,0.15,173.2815246
11,25,1440,30.0,0.15,176.8751278
5,25,1440,30.0,0.15,196.7817474
7,25,1440,30.0,0.15,195.1656634
9,25,1440,30.0,0.15,184.4251748
11,25,1440,30.0,0.15,171.3788888
5,25,1440,30.0,0.15,118.9174435
7,25,1440,30.0,0.15,91.4210862
9,25,1440,30.0,0.15,87.55866613
11,25,1440,30.0,0.15,80.01233269
5,25,1440,30.0,0.15,121.060048
7,25,1440,30.0,0.15,101.5108208
9,25,1440,30.0,0.15,77.27186751
11,25,1440,30.0,0.15,82.95070272
5,25,1440,30.0,0.15,114.1393361
7,25,1440,30.0,0.15,107.1711819
9,25,1440,30.0,0.15,92.95279609
11,25,1440,30.0,0.15,76.62904474
5,25,1440,30.0,0.15,110.1641806
7,25,1440,30.0,0.15,74.58543937
9,25,1440,30.0,0.15,65.19424479
11,25,1440,30.0,0.15,52.04717631
5,25,1440,30.0,0.15,117.8334879
7,25,1440,30.0,0.15,80.8909112
9,25,1440,30.0,0.15,55.95778911
11,25,1440,30.0,0.15,51.92702275
5,25,1440,30.0,0.15,107.3614267
7,25,1440,30.0,0.15,88.38450936
9,25,1440,30.0,0.15,68.07346008
11,25,1440,30.0,0.15,49.08041271
5,25,1440,30.0,0.15,187.4285651
7,25,1440,30.0,0.15,171.400377
9,25,1440,30.0,0.15,151.4639055
11,25,1440,30.0,0.15,145.3785096
5,25,1440,30.0,0.15,193.1199712
7,25,1440,30.0,0.15,171.2564149
9,25,1440,30.0,0.15,159.3441062
11,25,1440,30.0,0.15,150.9168829
5,25,1440,30.0,0.15,190.595886
7,25,1440,30.0,0.15,174.855173
9,25,1440,30.0,0.15,152.656609
11,25,1440,30.0,0.15,141.4453925
5,25,1440,30.0,0.15,96.67411867
7,25,1440,30.0,0.15,69.45804224
9,25,1440,30.0,0.15,61.97952194
11,25,1440,30.0,0.15,50.92038659
5,25,1440,30.0,0.15,89.5086089
7,25,1440,30.0,0.15,70.41925775
9,25,1440,30.0,0.15,63.52805071
11,25,1440,30.0,0.15,51.973701
5,25,1440,30.0,0.15,101.4544359
7,25,1440,30.0,0.15,74.58343387
9,25,1440,30.0,0.15,62.75924066
11,25,1440,30.0,0.15,55.1294431
5,25,1440,30.0,0.15,94.50644728
7,25,1440,30.0,0.15,59.49027235
9,25,1440,30.0,0.15,49.40019838
11,25,1440,30.0,0.15,36.53411647
5,25,1440,30.0,0.15,85.28836766
7,25,1440,30.0,0.15,60.5666738
9,25,1440,30.0,0.15,50.22163876
11,25,1440,30.0,0.15,38.06104336
5,25,1440,30.0,0.15,94.31416328
7,25,1440,30.0,0.15,64.13715308
9,25,1440,30.0,0.15,51.65995682
11,25,1440,30.0,0.15,38.30854905
7,25,1440,30.0,0.15,186.9041199
7,25,1440,30.0,0.15,193.4543834
7,25,1440,30.0,0.15,192.6299447
7,25,1440,30.0,0.15,186.9536278
7,25,1440,30.0,0.15,192.573243
7,25,1440,30.0,0.15,195.7047357
7,25,1440,30.0,0.15,182.8570345
7,25,1440,30.0,0.15,190.4094318
7,25,1440,30.0,0.15,191.812615
7,25,1440,30.0,0.15,192.0140311
7,25,1440,30.0,0.15,193.8653434
7,25,1440,30.0,0.15,192.8813951
7,25,1440,30.0,0.15,181.4764969
7,25,1440,30.0,0.15,190.729034
7,25,1440,30.0,0.15,188.7268436
7,25,1440,30.0,0.15,195.4032907
7,25,1440,30.0,0.15,194.0740099
7,25,1440,30.0,0.15,185.1498367
7,25,1440,30.0,0.15,84.7324625
7,25,1440,30.0,0.15,93.32551195
7,25,1440,30.0,0.15,97.76236724
7,25,1440,30.0,0.15,91.17129647
7,25,1440,30.0,0.15,102.8983275
7,25,1440,30.0,0.15,89.04089705
7,25,1440,30.0,0.15,93.63013996
7,25,1440,30.0,0.15,87.22656324
7,25,1440,30.0,0.15,93.44543259
7,25,1440,30.0,0.15,96.31623439
7,25,1440,30.0,0.15,90.96086617
7,25,1440,30.0,0.15,98.90939158
7,25,1440,30.0,0.15,85.72026179
7,25,1440,30.0,0.15,92.3968578
7,25,1440,30.0,0.15,92.86366991
7,25,1440,30.0,0.15,92.91179042
7,25,1440,30.0,0.15,96.89526426
