pH,Temperature,Contact time,Initial concentration,Adsorbent dosage,Adsorption capacity,Adsorbent
7,45,720,1.0,0.12,3.097035794,PB600
7,15,720,1.0,0.12,4.145693512,PB600
7,25,720,1.0,0.12,4.215604027,PB600
7,35,720,1.0,0.12,4.307603354,PB600
7,45,720,1.0,0.12,4.005872483,PB600
7,15,720,1.0,0.12,4.5651566,PB600
7,25,720,1.0,0.12,4.42533557,PB600
7,35,720,1.0,0.12,5.030355594,PB600
7,45,720,1.0,0.12,4.075782998,PB600
7,25,720,1.0,0.12,2.345474614,PB600
7,25,720,1.0,0.12,1.56581741,PB600
7,25,720,1.0,0.12,4.516129032,PB600
7,25,720,1.0,0.12,5.887681159,PB600
7,25,720,1.0,0.12,1.793598234,PB600
7,25,720,1.0,0.12,3.158174098,PB600
7,25,720,1.0,0.12,4.784946237,PB600
7,25,720,1.0,0.12,5.887681159,PB600
7,25,720,1.0,0.12,2.621412804,PB600
7,25,720,1.0,0.12,3.158174098,PB600
7,25,720,1.0,0.12,4.247311828,PB600
7,25,720,1.0,0.12,5.887681159,PB600
7,25,720,1.0,0.12,5.170421722,PB600
7,25,720,1.0,0.12,5.588907947,PB600
7,25,720,1.0,0.12,5.530371714,PB600
7,25,720,1.0,0.12,6.362889984,PB600
7,25,720,1.0,0.12,4.881571346,PB600
7,25,720,1.0,0.12,5.231560892,PB600
7,25,720,1.0,0.12,5.681474766,PB600
7,25,720,1.0,0.12,6.294471812,PB600
7,25,720,1.0,0.12,4.881571346,PB600
7,25,720,1.0,0.12,5.231560892,PB600
7,25,720,1.0,0.12,5.681474766,PB600
7,25,720,1.0,0.12,6.294471812,PB600
7,25,30,10.0,0.05,124.4444444,PAC
7,25,30,20.0,0.05,106.6666667,PAC
7,25,30,30.0,0.05,186.6666667,PAC
7,25,30,50.0,0.05,133.3333333,PAC
7,25,30,80.0,0.05,186.6666667,PAC
7,25,30,100.0,0.05,200.0,PAC
7,25,30,10.0,0.05,120.0,PAC
7,25,30,20.0,0.05,120.0,PAC
7,25,30,30.0,0.05,120.0,PAC
7,25,30,50.0,0.05,142.2222222,PAC
7,25,30,80.0,0.05,200.0,PAC
7,25,30,100.0,0.05,204.4444444,PAC
7,25,30,10.0,0.05,69.77777778,PAC
